City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vallenar,CL,86.22,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
1,Luwuk,ID,77.79,moderate rain,-0.9516,122.7875,Hotel Santika Luwuk
2,Mana,GF,80.87,overcast clouds,5.6592,-53.7767,LE SAMANA
3,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
6,San Juan,AR,85.39,scattered clouds,-31.5375,-68.5364,Hotel Provincial
9,Vaini,TO,77.16,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
12,Rikitea,PF,78.87,clear sky,-23.1203,-134.9692,People ThankYou
13,Castro,BR,77.83,clear sky,-24.7911,-50.0119,CHACARA BAILLY
18,Puerto Ayora,EC,84.16,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
21,Antsohihy,MG,76.3,overcast clouds,-14.8796,47.9875,Hotel de Ville
25,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
28,Faanui,PF,81.37,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
29,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
31,Malakal,SS,88.74,overcast clouds,9.5334,31.6605,Nile Palace Hotel
32,Biak,ID,76.41,light rain,-0.9131,122.8766,Penginapan Kim
33,San Patricio,US,82.49,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
36,Sur,OM,80.92,clear sky,22.5667,59.5289,Sur Plaza Hotel
39,Dingle,PH,76.78,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
43,Hithadhoo,MV,82.56,clear sky,-0.6,73.0833,Scoop Guest House
45,Atuona,PF,78.96,scattered clouds,-9.8,-139.0333,Villa Enata
49,Saint-Philippe,RE,79.21,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
51,Cockburn Town,TC,76.51,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
64,Pathein,MM,79.88,clear sky,16.7833,94.7333,Pathein Hotel
65,Saint George,US,75.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
69,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
78,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
81,Butaritari,KI,80.17,broken clouds,3.0707,172.7902,Isles Sunset Lodge
82,Chuy,UY,81.28,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
83,Inirida,CO,76.14,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
89,Cidreira,BR,76.48,clear sky,-30.1811,-50.2056,Hotel Castelo
91,Bambous Virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
92,Lubao,PH,77.07,scattered clouds,14.9167,120.55,Hacienda Gracia
94,Palauig,PH,80.82,scattered clouds,15.435,119.9045,Alperi Botique Resort
97,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
102,Maunabo,PR,88.65,few clouds,18.0072,-65.8993,Maunacaribe
116,Cabedelo,BR,83.07,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
118,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
119,Guaymas,MX,81.88,broken clouds,27.9333,-110.9,"Holiday Inn Express Guaymas, an IHG Hotel"
122,Rocha,UY,82.2,clear sky,-34.4833,-54.3333,Hotel Arrarte
127,Meulaboh,ID,78.24,overcast clouds,4.1363,96.1285,Kost Pria
133,Road Town,VG,82.44,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
134,San Rafael,AR,81.37,broken clouds,-34.6177,-68.3301,Hotel San Rafael
137,Cap Malheureux,MU,78.48,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
139,Mayumba,GA,80.01,light rain,-3.432,10.6554,LIKWALE LODGE
141,Mar Del Plata,AR,75.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
146,Caravelas,BR,84.97,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
149,Nan,TH,79.7,clear sky,18.8333,100.6667,สะเนียน2
150,Biltine,TD,81.19,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
152,Oistins,BB,86.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
153,Lorengau,PG,80.29,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
156,Ambilobe,MG,75.56,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
168,Tacuarembo,UY,77.81,clear sky,-31.7333,-55.9833,Complejo San Fructuoso
170,Saint-Leu,RE,77.86,light rain,-21.15,55.2833,La Caz Oceane
178,Matara,LK,78.37,few clouds,5.9485,80.5353,Amaloh Boutique Resort
180,Jardim,BR,86.79,few clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
192,Arraial Do Cabo,BR,84.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
194,Pemba,MZ,82.09,clear sky,-12.974,40.5178,Guesthouse Samotina
196,Buin,CL,78.06,overcast clouds,-33.7333,-70.75,Paihuen
199,Jati,PK,81.84,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
203,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
208,Matamoros,MX,80.71,clear sky,25.5333,-103.25,Quinta Belem
210,Rafaela,AR,83.98,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
214,Casas Grandes,MX,75.47,broken clouds,30.3667,-107.95,Pueblo del Soul B&B
216,Nkan,GA,78.53,moderate rain,0.3833,9.7833,Hôtel Santa Barbara
217,Norsup,VU,79.02,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
219,Santa Rosalia,MX,75.33,overcast clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
225,Santa Vitoria Do Palmar,BR,80.49,few clouds,-33.5189,-53.3681,Hostel Comodoro
229,Eyl,SO,78.26,scattered clouds,7.9803,49.8164,Amiin Hotel
233,Sompeta,IN,80.08,scattered clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
243,Touros,BR,84.61,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
250,Sinnamary,GF,81.27,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
253,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
258,Ca Mau,VN,80.38,scattered clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
260,Alta Floresta,BR,85.82,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
261,Kismayo,SO,81.97,scattered clouds,-0.3582,42.5454,Agan-Hotel
267,Port Keats,AU,80.71,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
273,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
281,Haapiti,PF,82.13,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
282,Omboue,GA,79.39,light rain,-1.5746,9.2618,Hotel Olako
289,Tarakan,ID,76.5,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
290,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
292,Sola,VU,82.56,moderate rain,-13.8833,167.55,Leumerus Bungalows
295,Cabo San Lucas,MX,87.1,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
297,Arica,CL,78.35,few clouds,-18.475,-70.3042,Hostal Jardin Del Sol
298,Kavieng,PG,80.96,light rain,-2.5744,150.7967,Nusa Island Retreat
306,Melo,UY,81.66,clear sky,-32.3667,-54.1833,Hotel Juana
308,Kralendijk,BQ,85.98,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
313,Laredo,US,82.69,clear sky,27.5064,-99.5075,La Quinta Inn by Wyndham Laredo I-35
315,Bengkulu,ID,76.69,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
318,Tucurui,BR,82.94,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
325,Boa Vista,BR,89.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
333,Ocos,GT,89.78,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
341,San Policarpo,PH,80.17,overcast clouds,12.1791,125.5072,Agapita M. Nicart
342,Lethem,GY,84.11,overcast clouds,3.3803,-59.7968,Savannah Inn
343,Veraval,IN,78.91,clear sky,20.9,70.3667,Lords Inn Somnath
344,Jiquilpan,MX,84.9,few clouds,19.7798,-103.7768,Posada San Gabriel
345,Natal,BR,84.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
349,Labuhan,ID,77.86,overcast clouds,-6.8844,112.2051,DoubleFAG
350,Saint-Joseph,RE,77.38,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
351,Paragominas,BR,82.42,moderate rain,-2.9667,-47.4833,INOVA
352,Tual,ID,79.9,moderate rain,-5.6667,132.75,Grand Vilia Hotel
355,Neiafu,TO,75.88,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
360,Sao Joao Da Barra,BR,89.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
368,Meadow Lake,US,75.49,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
370,Karachi,PK,80.42,clear sky,24.9056,67.0822,Sadaat
376,Kavaratti,IN,83.12,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
379,Dzaoudzi,YT,78.69,clear sky,-12.7887,45.2699,Le Rocher
386,Abilene,US,88.09,clear sky,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
387,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
395,Parrita,CR,86.36,overcast clouds,9.5201,-84.3225,Beso del Viento
400,Coroata,BR,83.79,overcast clouds,-4.13,-44.1242,Hotel Carvalho
403,Santa Rosa,PH,82.09,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
404,Pansemal,IN,91.83,clear sky,21.65,74.7,जय अम्बे टी स्टाल निवाली रोड पानसेमल
405,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
406,Coahuayana,MX,91.22,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
408,San Pedro,PH,81.32,few clouds,14.35,121.0167,Esquivel's Garden And Resort
413,Samarai,PG,81.39,overcast clouds,-10.6167,150.6667,Nuli Sapi
416,Papagaios,BR,81.9,scattered clouds,-19.4492,-44.7478,Hotel Mac Palace
417,Iberia,US,80.06,few clouds,29.9502,-91.7507,back to back rv park
418,Moerai,PF,79.97,overcast clouds,-22.4333,-151.3333,Le Manotel
419,Dabhol,IN,76.39,scattered clouds,17.6,73.1667,Ashwamedh Resort
420,Bosaso,SO,77.56,clear sky,11.2842,49.1816,Red Sea Hotel
422,Muscat,OM,82.42,clear sky,23.6139,58.5922,Mutrah Hotel
423,Majene,ID,78.28,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
424,Humaita,BR,80.35,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
427,Mushabani,IN,78.19,overcast clouds,22.5167,86.45,"ZEE NEWS REPOTER,HOME"
430,Kikwit,CD,78.58,broken clouds,-5.041,18.8162,HOTEL PLACE YALABA
431,Vanimo,PG,77.43,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
435,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
437,Sorong,ID,80.26,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
439,Cassilandia,BR,86.25,overcast clouds,-19.1133,-51.7342,Delirius Motel
440,Alyangula,AU,80.65,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
445,Buriti Bravo,BR,82.13,broken clouds,-5.8372,-43.8336,Hotel Brasil
448,Etchoropo,MX,79.02,broken clouds,26.7667,-109.6667,Campo de Andrés cruz jusaino
450,Conceicao Do Araguaia,BR,85.71,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
451,Tawau,MY,75.33,broken clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
456,Port-Gentil,GA,82.36,broken clouds,-0.7193,8.7815,Fengshui Residence
458,Resistencia,AR,90.09,few clouds,-27.4606,-58.9839,Niyat Urban Hotel
459,Hambantota,LK,77.34,clear sky,6.1241,81.1185,Bungalow 63
460,Bubaque,GW,76.89,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
462,Santa Isabel Do Rio Negro,BR,81.3,overcast clouds,-0.4139,-65.0192,Hotel GSA
463,Sao Felix Do Xingu,BR,83.28,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
470,Zuenoula,CI,93.06,broken clouds,7.4292,-6.0431,Hotel Prestige Zla
471,Bandarbeyla,SO,78.93,clear sky,9.4942,50.8122,JABIR HOTEL
472,Balikpapan,ID,76.19,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
474,Rio Grande,BR,84.31,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
475,Bilma,NE,80.62,few clouds,18.6853,12.9164,Expeditions Ténére voyages
477,Chiang Klang,TH,78.66,few clouds,19.2938,100.8617,Sangthong Resort
483,Trimbak,IN,78.66,broken clouds,19.9333,73.55,OYO 4192 Sai Krupa Hotel
486,Baculin,PH,75.7,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
489,Benguela,AO,77.88,light rain,-12.5763,13.4055,Hotel Praia Morena
492,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
495,Buala,SB,79.32,light rain,-8.145,159.5921,Maringe Lagoon Lodge
498,Poso,ID,77.97,light rain,-1.3959,120.7524,Hotel 77 Poso
499,Kisangani,CD,76.68,overcast clouds,0.5167,25.2,Grand Ramela Hotel
500,Freetown,SL,83.91,haze,8.484,-13.2299,The Country Lodge Hotel
502,Manado,ID,75.97,few clouds,1.487,124.8455,Aryaduta Hotel
503,Puerto Baquerizo Moreno,EC,81.59,broken clouds,-0.9,-89.6,Hotel los Algarrobos
504,Kampot,KH,80.65,scattered clouds,10.6167,104.1833,Two Moons Hotel
506,Inhambane,MZ,75.18,scattered clouds,-23.865,35.3833,Oceano
508,Dicabisagan,PH,77.11,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
509,Conde,BR,81.86,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
513,Kayankulam,IN,79.97,few clouds,9.1833,76.5,Hotel Indraprastha
514,Hobyo,SO,81.01,broken clouds,5.3505,48.5268,Iftin hotel hobyo
515,Atar,MR,91.67,broken clouds,20.5169,-13.0499,Oumou Elghoura
518,Callaguip,PH,80.62,few clouds,18.0714,120.4867,Pangil Beach Resort
524,Tambura,SS,80.71,broken clouds,5.6,27.4667,Rikito Lodge
525,Pallapatti,IN,81.43,scattered clouds,11.6593,78.1342,Hotel Laila palace
530,Manaus,BR,86.49,moderate rain,-3.1019,-60.025,Manaus Hotéis Millennium
537,Tocache,PE,84.33,overcast clouds,-8.1842,-76.5125,Hotel Ortiz
538,Nhulunbuy,AU,77.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
540,Tabou,CI,82.62,overcast clouds,4.423,-7.3528,hotêl doufoulougou
542,Doba,TD,88.77,broken clouds,8.65,16.85,Restaurant Auberge La Pétrolière
546,Takoradi,GH,82.9,scattered clouds,4.8845,-1.7554,Raybow International Hotel
552,Antalaha,MG,76.96,few clouds,-14.9003,50.2788,Hotel Vitasoa
553,Bac Lieu,VN,82.87,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
562,Bonthe,SL,83.21,broken clouds,7.5264,-12.505,Bonthe Holiday Village
564,Cartagena,CO,87.42,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
567,Port Hedland,AU,82.45,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
573,Mangrol,IN,78.85,clear sky,21.1167,70.1167,Hotel The Royal Honours
577,Sechura,PE,83.71,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
578,Vao,NC,76.44,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
586,Muisne,EC,82.51,light rain,0.6,-80.0333,Quinta Samay
587,Mazagao,BR,78.85,heavy intensity rain,-0.115,-51.2894,Recanto dos Ferreiras
590,Marovoay,MG,78.31,light rain,-16.1,46.6333,Hôtel les Oliviers Marovoay
591,Redlands,US,75.54,haze,34.0556,-117.1825,Dynasty Suites Redlands
597,Grand Gaube,MU,79.2,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
603,Wajir,KE,89.56,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
604,Rangia,IN,76.95,clear sky,26.4667,91.6333,Sanjib Boro House
610,Rapar,IN,85.14,clear sky,23.5667,70.6333,Dharamshi Bapa’s Home
611,Pisco,PE,77.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
612,Ilebo,CD,79.75,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
613,Tubuala,PA,79.79,broken clouds,9.5167,-79.0333,Río Nabagana
614,Presidencia Roque Saenz Pena,AR,88.47,clear sky,-26.7852,-60.4388,Hotel Gualok
615,Kieta,PG,78.91,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
628,Iralaya,HN,83.5,scattered clouds,15.0,-83.2333,Iglesia morava renovada
631,Trairi,BR,83.5,overcast clouds,-3.2778,-39.2689,janelas do mar
633,San Ignacio,BZ,80.74,clear sky,17.1561,-89.0714,Rainforest Haven Inn
634,Kununurra,AU,75.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
635,West Bay,KY,82.47,broken clouds,19.3667,-81.4167,Calypso Cove
638,Indiaroba,BR,83.37,broken clouds,-11.5192,-37.5117,Pura Vida Bahia
643,Lakatoro,VU,79.02,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
646,San Martin,AR,82.94,clear sky,-33.081,-68.4681,Finca Vivencias
649,Palmerston,AU,76.98,overcast clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
651,Mapiripan,CO,82.63,light rain,2.8892,-72.1256,Monserrate
656,Daru,PG,76.6,overcast clouds,-9.0763,143.2092,Daru Lodge
659,Kabala,SL,90.16,overcast clouds,9.5833,-11.55,Kabala Hill View
660,Teknaf,BD,77.31,few clouds,20.8624,92.3058,Forestry Guesthouse
663,Malanville,BJ,92.7,clear sky,11.8685,3.3899,Hotel Sejour du Sahel
666,Morondava,MG,81.52,scattered clouds,-20.2833,44.2833,La Case Bambou
668,Tautira,PF,81.48,light rain,-17.7333,-149.15,Pension Oaoa
681,Chimbote,PE,76.57,overcast clouds,-9.0853,-78.5783,Hotel Briliá
685,Monrovia,LR,83.97,overcast clouds,6.3005,-10.7969,Sunset Inn
692,Quatre Cocos,MU,78.91,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
696,Ibra,OM,80.19,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
697,Sulangan,PH,80.49,broken clouds,11.1373,123.7228,Maia's Beach Resort
703,Oranjestad,AW,85.95,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
711,Praya,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
717,Notse,TG,85.55,broken clouds,6.95,1.1667,Le Berceau
722,Abong Mbang,CM,81.23,scattered clouds,3.9833,13.1833,Auberge Angle Sur
726,Upata,VE,89.85,overcast clouds,8.0086,-62.3989,Posada Villa Nela
